Epoch: 073, LR: 0.000490, Loss: 0.4195420, Validation MAE: 0.5286520, 
Epoch: 074, LR: 0.000490, Loss: 0.4197686, Validation MAE: 0.5322149, 
Epoch: 075, LR: 0.000490, Loss: 0.4168788, Validation MAE: 0.5334992, 
Epoch: 076, LR: 0.000490, Loss: 0.4160761, Validation MAE: 0.5287915, 
Epoch: 077, LR: 0.000490, Loss: 0.4128159, Validation MAE: 0.5271001, 
Epoch: 078, LR: 0.000490, Loss: 0.4119304, Validation MAE: 0.5340108, 
Epoch: 079, LR: 0.000490, Loss: 0.4122325, Validation MAE: 0.5371237, 
Epoch: 080, LR: 0.000490, Loss: 0.4126275, Validation MAE: 0.5320003, 
Epoch: 081, LR: 0.000490, Loss: 0.4055938, Validation MAE: 0.5435235, 
Epoch: 082, LR: 0.000490, Loss: 0.4070862, Validation MAE: 0.5289328, 
Epoch: 083, LR: 0.000490, Loss: 0.4043056, Validation MAE: 0.5391143, 
Epoch: 084, LR: 0.000343, Loss: 0.3943349, Validation MAE: 0.5283949, 
Epoch: 085, LR: 0.000343, Loss: 0.3940429, Validation MAE: 0.5234066, 
Epoch: 086, LR: 0.000343, Loss: 0.3920322, Validation MAE: 0.5190525, 
Epoch: 087, LR: 0.000343, Loss: 0.3912356, Validation MAE: 0.5303065, 
Epoch: 088, LR: 0.000343, Loss: 0.3884886, Validation MAE: 0.5232880, 
Epoch: 089, LR: 0.000343, Loss: 0.3861687, Validation MAE: 0.5313878, 
Epoch: 090, LR: 0.000343, Loss: 0.3846996, Validation MAE: 0.5192064, 
Epoch: 091, LR: 0.000343, Loss: 0.3856335, Validation MAE: 0.5272297, 
Epoch: 092, LR: 0.000343, Loss: 0.3796276, Validation MAE: 0.5172481, 
Epoch: 093, LR: 0.000343, Loss: 0.3799825, Validation MAE: 0.5180456, 
Epoch: 094, LR: 0.000343, Loss: 0.3780909, Validation MAE: 0.5172904, 
Epoch: 095, LR: 0.000343, Loss: 0.3767093, Validation MAE: 0.5201191, 
Epoch: 096, LR: 0.000343, Loss: 0.3757126, Validation MAE: 0.5262353, 
Epoch: 097, LR: 0.000343, Loss: 0.3732549, Validation MAE: 0.5263826, 
Epoch: 098, LR: 0.000343, Loss: 0.3717706, Validation MAE: 0.5177212, 
Epoch: 099, LR: 0.000240, Loss: 0.3639829, Validation MAE: 0.5244201, 
Epoch: 100, LR: 0.000240, Loss: 0.3619943, Validation MAE: 0.5187478, 
Epoch: 101, LR: 0.000240, Loss: 0.3609271, Validation MAE: 0.5186061, 
Epoch: 102, LR: 0.000240, Loss: 0.3586682, Validation MAE: 0.5154543, 
Epoch: 103, LR: 0.000240, Loss: 0.3577008, Validation MAE: 0.5187481, 
Epoch: 104, LR: 0.000240, Loss: 0.3550258, Validation MAE: 0.5138733, 
Epoch: 105, LR: 0.000240, Loss: 0.3550826, Validation MAE: 0.5272696, 
Epoch: 106, LR: 0.000240, Loss: 0.3527035, Validation MAE: 0.5146231, 
Epoch: 107, LR: 0.000240, Loss: 0.3743386, Validation MAE: 0.5280911, 
Epoch: 108, LR: 0.000240, Loss: 0.3580626, Validation MAE: 0.5203172, 
Epoch: 109, LR: 0.000240, Loss: 0.3515687, Validation MAE: 0.5208933, 
Epoch: 110, LR: 0.000240, Loss: 0.3496606, Validation MAE: 0.5143541, 
Epoch: 111, LR: 0.000168, Loss: 0.3455220, Validation MAE: 0.5201996, 
Epoch: 112, LR: 0.000168, Loss: 0.3424794, Validation MAE: 0.5220546, 
Epoch: 113, LR: 0.000168, Loss: 0.3422095, Validation MAE: 0.5174675, 
Epoch: 114, LR: 0.000168, Loss: 0.3406248, Validation MAE: 0.5171590, 
Epoch: 115, LR: 0.000168, Loss: 0.3390714, Validation MAE: 0.5185105, 
Epoch: 116, LR: 0.000168, Loss: 0.3385865, Validation MAE: 0.5198674, 
Epoch: 117, LR: 0.000118, Loss: 0.3339897, Validation MAE: 0.5185406, 
Epoch: 118, LR: 0.000118, Loss: 0.3328805, Validation MAE: 0.5240754, 
Epoch: 119, LR: 0.000118, Loss: 0.3320400, Validation MAE: 0.5173349, 
Epoch: 120, LR: 0.000118, Loss: 0.3323800, Validation MAE: 0.5171645, 
Epoch: 121, LR: 0.000118, Loss: 0.3309762, Validation MAE: 0.5173643, 
Epoch: 122, LR: 0.000118, Loss: 0.3297538, Validation MAE: 0.5175996, 
Epoch: 123, LR: 0.000082, Loss: 0.3273200, Validation MAE: 0.5155984, 
Epoch: 124, LR: 0.000082, Loss: 0.3265933, Validation MAE: 0.5202553, 
Epoch: 125, LR: 0.000082, Loss: 0.3256273, Validation MAE: 0.5232416, 
Epoch: 126, LR: 0.000082, Loss: 0.3249864, Validation MAE: 0.5156523, 
Epoch: 127, LR: 0.000082, Loss: 0.3247599, Validation MAE: 0.5269454, 
Epoch: 128, LR: 0.000082, Loss: 0.3254641, Validation MAE: 0.5203021, 
Epoch: 129, LR: 0.000058, Loss: 0.3219578, Validation MAE: 0.5179054, 
Epoch: 130, LR: 0.000058, Loss: 0.3220355, Validation MAE: 0.5175634, 
Epoch: 131, LR: 0.000058, Loss: 0.3204369, Validation MAE: 0.5180524, 
Epoch: 132, LR: 0.000058, Loss: 0.3207388, Validation MAE: 0.5164545, 
Epoch: 133, LR: 0.000058, Loss: 0.3199946, Validation MAE: 0.5201839, 
